Svc Add: 436 BERLIN TPKE BERLIN CT 06037,,,,,
Sery Ref: 179012007 <br> Service from 11/13/23 - 12/13/23,,,Bill Cycle: 10 30 Days,,
"Next read date on or about: Jan 15, 2024",,,,,
Meter <br> Number,Current Read,Previous Read,Current <br> Usage,,Reading <br> Type
890404502,17655,17597,58,,Estimate
Total Demand Use $=25.70 \mathrm{~kW}$,,,,,
"58 X Meter Constant of $192=11,136$ Billed Usage",,,,,
Monthly KWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
11136,16704,17664,13056,18048,12864,11904
Jul,Aug,Sep,Oct,Nov,Dec,
9600,13248,13440,23040,9600,11136,
