Svc Addr: 333 ELTON RD,,,,,
RENSISSION CT 06037,,,,,
Serv Ref: 174412004,,,Bill Cycle: 09,,
Service from 11/09/23 - 12/12/23,,,33 Days,,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,,Reading <br> Type
895135932,34527,34089,438,,Actual
Total Demand Use $=73.30 \mathrm{KW}$,,,,,
"438 X Meter Constant of $96=42,048$ Billed Usage",,,,,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
40992,40416,35904,40032,36672,32256,35520
Jul,Aug,Sep,Oct,Nov,Dec,
31584,33888,31776,31008,33312,42048,
