Svc Addr: 25 E HIGH ST <br> UNIT 1 <br> EAST HAMPTON CT 06-24,,,,,
Serv Ref: 505802003 <br> Service from 05/09/23 - 06/09/23,,,Bill Cycle: 07 <br> 31 Days,,
"Next read date on or about: Jul 11, 2023",,,,,
$\quad$ Meter,Current,Previous,Current,Reading,
Number,Read,Read,$\quad$ Name,Type,
689052652,47067,40172,6895,Actual,
Total Demand Use $=25.80 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Jun,Jul,Aug,Sep,Oct,Nov,Dec
12853,14094,14578,14545,11623,10780,11295
Jan,Feb,Mar,Apr,May,Jun,
13678,8031,9701,11142,8219,6895,
