Sce Ad6r: 640 S MAIN ST,,,,,
MINDLETOWN ST 05457,,,,,
Sery Ref: 073485002,,,Bill Cycle: 19,,
Service from 04/27/23 - 05/25/23,,,28 Days,,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
891152242,65987,51632,14355,Actual,
Total Demand Use $=37.60 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
15200,17797,17639,19577,16882,14522,15766
Dec,Jan,Feb,Mar,Apr,May,
13350,12990,13729,12453,14826,14355,
