Sce Addr: 57 S ERDAB ST,,,,,
MERIBEN CT 06450,,,,,
Serv Ref: 849662005,,,Bill Cycle: 09,,
Service from 05/11/23 - 06/13/23,,,33 Days,,
"Next read date on or about: Jul 13, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
689899942,53219,39289,13930,Actual,
Total Demand Use $=32.40 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Jun,Jul,Aug,Sep,Oct,Nov,Dec
15272,14574,17299,14502,12559,11985,14520
Jan,Feb,Mar,Apr,May,Jun,
14296,11552,12797,12223,11980,13930,
