Sye Addr: 100 CONGRESS ST SPRINGFIELD MA 01104,,,,,
Serv Ref: 746153006,,,,Bill Cycle: 10,
Service from 03/14/23 - 04/13/23,,,,30 Days,
"Next read date on or about: May 12, 2023",,,,,
Meter <br> Number,Current Read,Previous Read,Current <br> Usage,Reading Type,
893735922,90802,79792,11010,Actual,
Total Demand Use $=30.00 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
11456,14260,15547,16967,19284,16984,13967
Nov,Dec,Jan,Feb,Mar,Apr,
13902,10136,10420,8996,9849,11010,
