Svc Addr: FERDIVAL AVE,,,,,
KENSINGTON CT 06037,,,,,
Serv Ret: 254212005,,,Bill Cycle: 10,,
Service from 11/13/23 - 12/13/23,,,30 Days,,
"Next road date on or about: Jan 15, 20/24",,,,,
Meter Number,Current Read,Previous Read,Current Usage,,Reading Type
891340282,7171,7171,0,,Actual
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
1,0,0,0,0,26,51
Jul,Aug,Sep,Oct,Nov,Dec,
95,86,33,44,43,0,
Svc Addr: FERDIVAL AVE,,,,,
KENSINGTON CT 06037,,,,,
Serv Ret: 493112004,,,Bill Cycle: 10,,
Service from 11/13/23 - 12/13/23,,,30 Days,,
"Next road date on or about: Jan 15, 20/24",,,,,
Meter Number,Current Read,Previous Read,Current Usage,,Reading Type
890245242,65948,64032,1916,,Actual
Total Demand Use $=4.40 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
1535,633,622,741,420,660,4358
Jul,Aug,Sep,Oct,Nov,Dec,
7084,7460,926,456,1270,1916,
