Svc Addr: 1060 WILBRAMAM RD,,,,,
SPRINGEIELO MA 01109,,,,,
Serv Ref: 191183009,,,Bill Cycle: 19,,
Service from 03/27/23 - 04/27/23,,,31 Days,,
"Next read date on or about: May 25, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
894514452,10831,99222,11609,Actual,
Total Demand Use $=31.90 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
10753,11526,14142,15172,16462,14022,11271
Nov,Dec,Jan,Feb,Mar,Apr,
12013,10481,9956,10831,9615,11609,
