Sye Addr: 1333 WESTFIELD ST,,,,,
WEST SPRINGFIELD MA 01089,,,,,
Serv Ref: 766643006,,,Bill Cycle: 08,,
Service from 03/10/23 - 04/11/23,,,32 Days,,
"Next read date on or about: May 10, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
892590032,36641,24950,11691,Actual,
Total Demand Use $=34.40 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
12576,13446,16832,16376,17661,17036,12187
Nov,Dec,Jan,Feb,Mar,Apr,
10585,11073,9864,9393,9427,11691,
