Sye Addr: 389 MAIN ST AGAWAM MA 01091,,,,,
Sery Ref: 342653001,,,,Bill Cycle: 04,
Service from 03/06/23 - 04/04/23,,,,20 Days,
"Next read date on or about: May 04, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
893323802,29654,1597 f,13683,Actual,
Total Demand Use $=31.00 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
13547,15264,19556,19292,20983,18441,14957
Nov,Dec,Jan,Feb,Mar,Apr,
14224,15712,14197,12804,14142,13683,
