Svc Addr: 2068 RIVERDALEST,,,,,
WEST SERINGFIELD MA 01089,,,,,
Serv Ref: 664253008,,,Bill Cycle: 09,,
Service from 03/13/23 - 04/12/23,,,30 Days,,
"Next read date on or about: May 11, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
893473382,48218,37383,10835,Actual,
Total Demand Use $=63.80 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
13187,15048,16764,16678,18388,14103,11329
Nov,Dec,Jan,Feb,Mar,Apr,
10130,11366,10873,9489,10510,10835,
