Sce Add: 326 SOUTHINGTON RD,,,,,
FL 1 <br> KENNINGTON CT 06037,,,,,
Serv Ref: 734612008,Bill Cycle: 09,,,,
Service from 11/09/23 - 12/12/23,33 Days,,,,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous Read,Current Usage,Reading Type,
896136302,223,221,2,Actual,
Cost provided ID: GULF CARTS BLDS SNL,,,,,
Total Demand Use $=0.80 \mathrm{~kW}$,,,,,
2 X Meter Constant of $80=160$ Billed Usage,,,,,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
80,160,0,0,160,80,240
Jul,Aug,Sep,Oct,Nov,Dec,
80,240,80,160,160,160,
