Svc Adir: 770,,,,,
UNIT A,,,,,
MIDDLETOWN CT 06457,,,,,
Serv Ref: 035692003,,,Bill Cycle: 19,,
Service from 04/27/23 - 05/25/23,,,28 Days,,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
091072002,93972,61548,12424,Actual,
Total Demand Use $=34.90 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
11019,15475,16867,19852,16724,13558,14744
Dec,Jan,Feb,Mar,Apr,May,
11457,11036,12812,11311,12730,12424,
