SVo. Addr: 1517 BERLIN TPKE BLEG MAINTENAE BERLIN CT 06037,,,,,
Serv NoF: 120653004,,,,Bill Ejects: 09,
Service from 11/09/23 - 12/12/23,,,,33 Days,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,,Reading <br> Type
893883422,10454,10318,136,,Actual
Total Demand Use $=2.50 \mathrm{~kW}$,,,,,
Monthly RWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
130,119,97,96,103,84,100
Jul,Aug,Sep,Oct,Nov,Dec,
88,89,105,135,101,136,
