Svc Addr: 613 WASHINGTON ST,,,,,
MINDLETOWN CT 05457,,,,,
Serv Ref: 436192009,,,Bill Cycle: 19,,
Service from 04/27/23 - 05/25/23,,,28 Days,,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
891501452,24124,23765,359,Actual,
Total Demand Use $=1.70 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
398,400,373,449,516,536,661
Dec,Jan,Feb,Mar,Apr,May,
632,603,593,476,461,359,
