Svc Add: 330 SOUTHINGTON RO,,,,,
RENSINGTON CT 06037,,,,,
Serv Ret: 685312003,,,Bill Cycle: 09,,
Service from 11/09/23 - 12/12/23,,,33 Days,,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
890404792,42915,42780,135,Actual,
Total Demand Use = 19.90 kW,,,,,
"135 X Meter Constant of $40=5,400$ Billed Usage",,,,,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
5280,3720,2640,3480,4760,5880,7800
Jul,Aug,Sep,Oct,Nov,Dec,
9160,10440,9080,5960,5440,5400,
