See Addr: 1021 \& MAIN ST <br> CHESHIRE CT 08410,,,,,
Serv Ref: 99669002,,,Bill Cycle: 19,,
Service from 04/27/23 - 05/25/23,,,28 Days,,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
891494402,75256,62255,13001,Actual,
Total Demand Use $=35.50 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
13899,16431,16556,17970,15110,13141,14450
Dec,Jan,Feb,Mar,Apr,May,
12334,12110,12985,11978,13505,13001,
