Sye Addr: 2 EIRGIES ST,,,,,
EAST HARTFORD CT 05108,,,,,
Serv Ref: 109171007,,,Bill Cycle: 16,,
Service from 12/23/24 - 01/24/25,,,32 Days,,
"Next read date on or about: Feb 24, 2025",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
889990392,33633,33149,484,Actual,
Total Demand Use $=7.10 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul
488,426,396,463,405,1708,2308
Aug,Sep,Oct,Nov,Dec,Jan,
434,443,425,451,498,484,
