Svc Addr: 901 FARMINGTON AVE,,,,,
PDSL,,,,,
BERLIN OT 06037,,,,,
Serv Ref: 580314004,,,Bill Cycle: 10,,
Service from 11/13/23 - 12/14/23,,,31 Days,,
"Next read date on or about: Jan 15, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
034289752,22577,21740,837,Actual,
Cost provided ID: 29 STEELE R030,,,,,
Total Demand Use $=1.70 \mathrm{~kW}$,,,,,
Monthly KWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
809,965,706,703,730,490,581
Jul,Aug,Sep,Oct,Nov,Dec,
520,645,578,674,779,837,
