Svc Ador: 300 SPRUGE BRUOK RD,,,,,
RENSUNGTON GT 06037,,,,,
Serv Rej: 3/9512002,,,Bill Cycle: 09,,
Service from 11/09/23 - 12/12/23,,,33 Days,,
"Next read date on or about: Jan 12, 2024",,,,,
Meter <br> Number,Current <br> Read,Previous Read,Current <br> Usage,,Reading <br> Type
890479502,4082,4058,24,,Actual
Total Demand Use $=3.30 \mathrm{~kW}$,,,,,
24 X Meter Constant of $10=240$ Billed Usage,,,,,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
270,730,730,580,520,230,160
Jul,Aug,Sep,Oct,Nov,Dec,
130,150,140,140,140,240,
