Svc Addr: 3065 MAIN ST,,,,,
SPRINGFIELD MA 01107,,,,,
Serv Ref: 223341003,,,Bill Cycle: 18,,
Service from 03/24/23 - 04/26/23,,,33 Days,,
"Next read date on or about: May 24, 2023",,,,,
Meter,Current,Previous,Current,Reading,
Number,Read,Read,Usage,Type,
033319292,73270,61660,11610,Actual,
Total Demand Use $=26.90 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
10832,11925,13243,14259,13839,13170,10865
Nov,Dec,Jan,Feb,Mar,Apr,
11459,10355,10244,9354,9185,11610,
