Svc Addr: 07A E-MAIN ST <br> UNIT OWNERS <br> WEHIDEN CT 06450,,,,,
Serv Ref: 262413007,,,Bill Cycle: 09,,
Service from 05/11/23 - 06/13/23,,,33 Days,,
"Next read date on or about: Jul 13, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
091882652,2194,884,1310,Actual,
Total Demand Use $=2.80 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Jun,Jul,Aug,Sep,Oct,Nov,Dec
1427,1248,1299,1386,1384,1469,1734
Jan,Feb,Mar,Apr,May,Jun,
1700,1503,1549,1453,1396,1310,
