Svc Addr: 560 BEL MONT AVE SPRINGFIELD MA 01108,,,,,
Serv Ref: 792553003,,,,Bill Cycle: 16,
Service from 03/22/23 - 04/24/23,,,,33 Days,
"Next read date on or about: May 22, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
892903912,80071,63136,16935,Actual,
Total Demand Use $=36.70 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
15533,14530,16411,19033,16993,15627,14759
Nov,Dec,Jan,Feb,Mar,Apr,
13637,12957,16084,15082,13613,16935,
