Sce Addr: 1699 HIGH AND AVE <br> CHESHINE CT 08410,,,,,
Sery Ref: 978973003,,,Bill Cycle: 19,,
Service from 04/27/23 - 05/25/23,,,28 Days,,
"Next read date on or about: Jun 27, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
895127202,14265,2941,11324,Actual,
Total Demand Use $=29.00 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
12172,13875,13996,14601,12667,11281,12503
Dec,Jan,Feb,Mar,Apr,May,
12645,10630,12487,10929,12087,11324,
