Sye Addr: 705 LIBERTY ST,,,,,
SPRINGFIELD MA 01104,,,,,
Serv Ref: 841024006,,,Bill Cycle: 18,,
Service from 03/24/23 - 04/26/23,,,33 Days,,
"Next read date on or about: May 24, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
035571312,74073,62642,11431,Actual,
Total Demand Use $=28.00 \mathrm{kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep,Oct
9601,9563,12739,13530,14597,12650,9745
Nov,Dec,Jan,Feb,Mar,Apr,
11198,9530,8886,9905,9453,11431,
